Time Stamp [s],# Frames,# Horizontal Pixels to Centroid,# Vertical Pixels to Centroid,Horizontal Turning Angle [deg],Vertical Turning Angle [deg] 
0.3057251059999544,0,-1.0,1.0,0.0229375,0.021875
1.858040520999566,12,143.0,117.0,-3.2800624999999997,2.559375
2.734485349001261,20,82.0,35.0,-1.880875,0.765625
3.2019963800012192,24,167.0,-8.0,-3.8305625,-0.175
3.6705156850002822,28,-33.0,-4.0,0.7569375,-0.0875
4.171615878000011,32,-33.0,-4.0,0.7569375,-0.0875
4.562152852000509,36,-33.0,-4.0,0.7569375,-0.0875
5.110455494001144,40,-33.0,-4.0,0.7569375,-0.0875
5.585624090001147,44,-33.0,-4.0,0.7569375,-0.0875
6.091194282000288,48,-33.0,-4.0,0.7569375,-0.0875
6.562441201000183,52,-33.0,-4.0,0.7569375,-0.0875
7.062995112000863,56,-33.0,-4.0,0.7569375,-0.0875
7.561464521000744,60,-33.0,-4.0,0.7569375,-0.0875
8.090240153000195,64,-33.0,-4.0,0.7569375,-0.0875
8.637051530000463,68,-33.0,-4.0,0.7569375,-0.0875
9.129464301000553,72,-33.0,-4.0,0.7569375,-0.0875
9.567519883001296,76,-33.0,-4.0,0.7569375,-0.0875
10.066931065000972,80,-33.0,-4.0,0.7569375,-0.0875
10.567865009001252,84,-33.0,-4.0,0.7569375,-0.0875
11.068487168000502,88,-33.0,-4.0,0.7569375,-0.0875
11.568121178001093,92,-33.0,-4.0,0.7569375,-0.0875
12.098776857001212,96,-33.0,-4.0,0.7569375,-0.0875
12.569828069001233,100,-33.0,-4.0,0.7569375,-0.0875
13.123194237999996,104,-33.0,-4.0,0.7569375,-0.0875
13.573170596000637,108,-33.0,-4.0,0.7569375,-0.0875
14.10319074400104,112,-33.0,-4.0,0.7569375,-0.0875
14.57565767900087,116,-33.0,-4.0,0.7569375,-0.0875
15.105435748000673,120,-33.0,-4.0,0.7569375,-0.0875
15.680455427000197,124,219.0,-98.0,-5.0233125,-2.14375
16.87325494200013,132,60.0,38.0,-1.37625,0.83125
18.757099583001036,148,180.0,164.0,-4.12875,3.5875
19.177685530999952,152,174.0,165.0,-3.9911250000000003,3.609375
20.254745420999825,160,-92.0,170.0,2.1102499999999997,3.71875
20.684582570000202,164,-177.0,175.0,4.0599375,3.828125
21.8219717030006,172,-143.0,-97.0,3.2800624999999997,-2.121875
22.690969534000033,180,174.0,-176.0,-3.9911250000000003,-3.85
23.124573195000266,184,174.0,-176.0,-3.9911250000000003,-3.85
24.139117837999947,192,174.0,-176.0,-3.9911250000000003,-3.85
24.631895763999637,196,174.0,-176.0,-3.9911250000000003,-3.85
25.10377295699982,200,174.0,-176.0,-3.9911250000000003,-3.85
25.634393340000315,204,174.0,-176.0,-3.9911250000000003,-3.85
26.104589398000826,208,174.0,-176.0,-3.9911250000000003,-3.85
26.60698368500016,212,174.0,-176.0,-3.9911250000000003,-3.85
27.108987728999637,216,174.0,-176.0,-3.9911250000000003,-3.85
27.6109952730003,220,174.0,-176.0,-3.9911250000000003,-3.85
28.111580093000157,224,174.0,-176.0,-3.9911250000000003,-3.85
28.611648382000567,228,174.0,-176.0,-3.9911250000000003,-3.85
29.113313806001315,232,174.0,-176.0,-3.9911250000000003,-3.85
29.65792488400075,236,-14.0,193.0,0.321125,4.221875
30.13787759099978,240,-112.0,140.0,2.569,3.0625
30.63626007700077,244,-163.0,122.0,3.7388125000000003,2.66875
31.133645373000036,248,-274.0,140.0,6.2848749999999995,3.0625
31.616383734999545,252,-307.0,143.0,7.041812500000001,3.128125
32.11725088200001,256,-307.0,143.0,7.041812500000001,3.128125
32.619767373000286,260,294.0,220.0,-6.743625,4.8125
33.12259565000022,264,279.0,207.0,-6.3995625,4.528125
33.621942075000334,268,312.0,236.0,-7.156499999999999,5.1625
34.13240487500116,272,-307.0,40.0,7.041812500000001,0.875
34.63555368699963,276,-37.0,-87.0,0.8486874999999999,-1.903125
35.12692813600006,280,-35.0,84.0,0.8028124999999999,1.8375
35.62730733300123,284,-35.0,84.0,0.8028124999999999,1.8375
36.12762090599972,288,-35.0,84.0,0.8028124999999999,1.8375
36.66214196200053,292,-35.0,84.0,0.8028124999999999,1.8375
37.127523273000406,296,-35.0,84.0,0.8028124999999999,1.8375
37.62767934800104,300,-35.0,84.0,0.8028124999999999,1.8375
38.128752698001335,304,-35.0,84.0,0.8028124999999999,1.8375
38.62739942600092,308,-35.0,84.0,0.8028124999999999,1.8375
39.12801720100106,312,-35.0,84.0,0.8028124999999999,1.8375
39.63055498100039,316,-35.0,84.0,0.8028124999999999,1.8375
40.15864461500132,320,-35.0,84.0,0.8028124999999999,1.8375
40.62973023500126,324,-35.0,84.0,0.8028124999999999,1.8375
41.13076683399959,328,-35.0,84.0,0.8028124999999999,1.8375
41.63196326400066,332,-35.0,84.0,0.8028124999999999,1.8375
42.16326321100132,336,-35.0,84.0,0.8028124999999999,1.8375
42.63611163099995,340,-35.0,84.0,0.8028124999999999,1.8375
43.13509931000044,344,-35.0,84.0,0.8028124999999999,1.8375
43.637274262000574,348,-35.0,84.0,0.8028124999999999,1.8375
44.13844706599957,352,-35.0,84.0,0.8028124999999999,1.8375
44.6394684980005,356,-35.0,84.0,0.8028124999999999,1.8375
45.140567512000416,360,-35.0,84.0,0.8028124999999999,1.8375
45.64265642300052,364,-35.0,84.0,0.8028124999999999,1.8375
46.142643041001065,368,-35.0,84.0,0.8028124999999999,1.8375
